央视频道,#genre#
CCTV2,http://124.65.5.85:20000/rtp/239.3.1.60:8084,0.9554
CCTV2,http://1.203.76.226:7788/udp/225.1.8.2:8084,0.9549
CCTV2,http://123.122.163.122:19999/rtp/239.3.1.60:8084,0.9548
CCTV2,http://124.64.236.210:8012/rtp/239.3.1.60:8084,0.9538
CCTV2,http://124.65.5.85:20000/rtp/239.3.1.60:8084,0.9529
CCTV2,http://222.129.138.133:4088/rtp/239.3.1.60:8084,0.9529
CCTV2,http://222.129.32.10:8888/rtp/239.3.1.60:8084,0.9529
CCTV2,http://221.219.101.215:8012/rtp/239.3.1.60:8084,0.9525
CCTV2,http://222.129.138.133:4088/rtp/239.3.1.60:8084,0.9525
CCTV2,http://1.202.9.192:8888/udp/225.1.8.2:8084,0.9508
CCTV2,http://114.254.189.79:9999/rtp/239.3.1.60:8084,0.9495
CCTV2,http://1.202.9.192:8888/udp/225.1.8.2:8084,0.9493
CCTV2,http://123.113.237.79:8888/rtp/239.3.1.60:8084,0.9475
CCTV2,http://114.252.237.19:8000/rtp/239.3.1.60:8084,0.9463
CCTV2,http://www.ogrehq.com:4022/udp/228.1.1.24:8084,0.9458
CCTV2,http://www.ogrehq.com:4022/udp/228.1.1.24:8084,0.9456
CCTV2,http://114.249.217.126:8888/rtp/239.3.1.60:8084,0.9437
CCTV2,http://114.243.107.120:4000/rtp/239.3.1.60:8084,0.9381
CCTV2,http://221.219.101.215:8012/rtp/239.3.1.60:8084,0.9306
CCTV2,http://111.196.185.170:5555/rtp/239.3.1.60:8084,0.9231
CCTV2,http://114.246.183.121:4022/rtp/239.3.1.60:8084,0.908
CCTV2,http://222.129.36.235:9001/rtp/239.3.1.60:8084,0.9039
CCTV2,http://111.197.224.161:4022/rtp/239.3.1.60:8084,0.895
CCTV2,http://114.243.107.120:4000/rtp/239.3.1.60:8084,0.8661
CCTV2,http://222.129.32.50:58888/rtp/239.3.1.60:8084,0.8629
CCTV2,http://114.254.209.157:8888/rtp/239.3.1.60:8084,0.8579
CCTV2,http://114.252.237.19:8000/rtp/239.3.1.60:8084,0.8557
CCTV2,http://114.254.219.197:8000/rtp/239.3.1.60:8084,0.853
CCTV2,http://222.129.32.50:58888/rtp/239.3.1.60:8084,0.8229
CCTV2,http://114.254.209.157:8888/rtp/239.3.1.60:8084,0.819
CCTV2,http://114.254.219.197:8000/rtp/239.3.1.60:8084,0.8118
CCTV2,http://114.254.189.79:9999/rtp/239.3.1.60:8084,0.7893
CCTV2,http://wg.mxmy.net:8888/rtp/239.3.1.60:8084,0.7644
CCTV2,http://111.193.234.141:8888/rtp/239.3.1.60:8084,0.7482
CCTV2,http://114.246.183.121:4022/rtp/239.3.1.60:8084,0.713
CCTV2,http://111.197.224.161:4022/rtp/239.3.1.60:8084,0.7123
CCTV2,http://sweetown.fun:4000/rtp/239.3.1.60:8084,0.7117
CCTV2,http://sweetown.fun:4000/rtp/239.3.1.60:8084,0.7007
CCTV2,http://222.129.32.10:8888/rtp/239.3.1.60:8084,0.6867
CCTV2,http://123.121.216.27:8180/rtp/239.3.1.60:8084,0.6451
CCTV2,http://61.48.28.175:8180/rtp/239.3.1.60:8084,0.5865
CCTV2,http://wg.mxmy.net:8888/rtp/239.3.1.60:8084,0.5802
CCTV2,http://61.48.28.175:8180/rtp/239.3.1.60:8084,0.5703
CCTV2,http://114.253.218.94:5400/rtp/239.3.1.60:8084,0.5594
